iter	Passed	Remaining
0	59	59093
1	59	29689
2	59	19868
3	60	14975
4	60	12020
5	60	10058
6	60	8647
7	61	7589
8	61	6766
9	61	6109
10	61	5570
11	62	5123
12	62	4744
13	62	4418
14	63	4137
15	63	3890
16	63	3671
17	63	3477
18	64	3304
19	64	3147
20	64	3007
21	64	2878
22	65	2761
23	65	2656
24	65	2556
25	65	2465
26	66	2379
27	66	2299
28	66	2226
29	66	2157
30	66	2093
31	67	2033
32	67	1976
33	67	1922
34	67	1872
35	68	1824
36	68	1780
37	68	1741
38	69	1700
39	69	1662
40	69	1625
41	69	1591
42	69	1557
43	70	1525
44	70	1495
45	70	1466
46	70	1439
47	71	1412
48	71	1386
49	71	1361
50	71	1338
51	72	1315
52	72	1293
53	72	1272
54	72	1253
55	73	1234
56	73	1216
57	73	1197
58	73	1179
59	74	1162
60	74	1147
61	74	1131
62	75	1116
63	75	1101
64	75	1087
65	75	1072
66	76	1058
67	76	1045
68	76	1032
69	76	1020
70	77	1008
71	77	996
72	77	984
73	77	973
74	78	962
75	78	951
76	78	940
77	78	930
78	79	921
79	79	911
80	79	901
81	79	892
82	79	881
83	80	872
84	80	863
85	80	855
86	80	846
87	80	838
88	81	830
89	81	823
90	81	815
91	81	807
92	82	800
93	82	793
94	82	786
95	82	779
96	82	772
97	83	766
98	83	759
99	83	753
100	83	747
101	84	740
102	84	734
103	84	729
104	84	723
105	85	718
106	85	712
107	85	707
108	85	702
109	86	697
110	86	691
111	86	686
112	86	681
113	87	676
114	87	671
115	87	667
116	87	661
117	87	657
118	88	653
119	88	648
120	88	644
121	88	639
122	89	635
123	89	630
124	89	627
125	89	623
126	90	619
127	90	615
128	90	612
129	90	608
130	91	604
131	91	601
132	91	597
133	91	594
134	92	590
135	92	587
136	92	583
137	92	580
138	93	576
139	93	573
140	93	570
141	93	566
142	93	562
143	94	559
144	94	556
145	94	553
146	94	550
147	95	547
148	95	544
149	95	541
150	95	538
151	96	536
152	96	533
153	96	530
154	96	527
155	96	524
156	97	521
157	97	519
158	97	516
159	97	514
160	98	510
161	98	508
162	98	505
163	98	503
164	99	501
165	99	498
166	99	495
167	99	493
168	99	491
169	100	488
170	100	486
171	100	484
172	100	482
173	101	479
174	101	477
175	101	475
176	101	473
177	102	471
178	102	469
